,Country Name,Country Code,year,population
760,Antigua and Barbuda,ATG,2017,95426
761,Argentina,ARG,2017,44044811
762,Armenia,ARM,2017,2944809
763,Aruba,ABW,2017,105366
764,Australia,AUS,2017,24601860
765,Austria,AUT,2017,8797566
766,Azerbaijan,AZE,2017,9854033
767,Afghanistan,AFG,2018,37172386
768,Albania,ALB,2018,2866376
769,Algeria,DZA,2018,42228429
770,American Samoa,ASM,2018,55465
771,Andorra,AND,2018,77006
772,Angola,AGO,2018,30809762
773,Antigua and Barbuda,ATG,2018,96286
774,Argentina,ARG,2018,44494502
775,Armenia,ARM,2018,2951776
776,Aruba,ABW,2018,105845
777,Australia,AUS,2018,24982688
778,Austria,AUT,2018,8840521
779,Azerbaijan,AZE,2018,9939800
