,Country Name,Country Code,year,population
171,Algeria,DZA,1972,15285990
172,American Samoa,ASM,1972,28567
173,Andorra,AND,1972,26892
174,Angola,AGO,1972,6248552
175,Antigua and Barbuda,ATG,1972,64133
176,Argentina,ARG,1972,24653175
177,Armenia,ARM,1972,2650486
178,Aruba,ABW,1972,59840
179,Australia,AUS,1972,13177000
180,Austria,AUT,1972,7544201
181,Azerbaijan,AZE,1972,5385263
182,Afghanistan,AFG,1973,12108963
183,Albania,ALB,1973,2296752
184,Algeria,DZA,1973,15709825
185,American Samoa,ASM,1973,29100
186,Andorra,AND,1973,28232
187,Angola,AGO,1973,6496962
188,Antigua and Barbuda,ATG,1973,63650
189,Argentina,ARG,1973,25056478
190,Armenia,ARM,1973,2712786
191,Aruba,ABW,1973,60243
192,Australia,AUS,1973,13380000
193,Austria,AUT,1973,7586115
194,Azerbaijan,AZE,1973,5483082
195,Afghanistan,AFG,1974,12412950
196,Albania,ALB,1974,2350124
197,Algeria,DZA,1974,16149025
198,American Samoa,ASM,1974,29596
199,Andorra,AND,1974,29520
200,Angola,AGO,1974,6761380
201,Antigua and Barbuda,ATG,1974,63120
202,Argentina,ARG,1974,25462302
203,Armenia,ARM,1974,2773748
204,Aruba,ABW,1974,60528
205,Australia,AUS,1974,13723000
206,Austria,AUT,1974,7599038
207,Azerbaijan,AZE,1974,5579072
208,Afghanistan,AFG,1975,12689160
209,Albania,ALB,1975,2404831
210,Algeria,DZA,1975,16607707
211,American Samoa,ASM,1975,30052
212,Andorra,AND,1975,30705
213,Angola,AGO,1975,7024000
214,Antigua and Barbuda,ATG,1975,62675
215,Argentina,ARG,1975,25865776
216,Armenia,ARM,1975,2832759
217,Aruba,ABW,1975,60657
218,Australia,AUS,1975,13893000
219,Austria,AUT,1975,7578903
220,Azerbaijan,AZE,1975,5674133
221,Afghanistan,AFG,1976,12943093
222,Albania,ALB,1976,2458526
223,Algeria,DZA,1976,17085801
224,American Samoa,ASM,1976,30456
225,Andorra,AND,1976,31777
226,Angola,AGO,1976,7279509
227,Antigua and Barbuda,ATG,1976,62367
228,Argentina,ARG,1976,26264681
229,Armenia,ARM,1976,2889579
230,Aruba,ABW,1976,60586
231,Australia,AUS,1976,14033000
232,Austria,AUT,1976,7565525
233,Azerbaijan,AZE,1976,5768721
234,Afghanistan,AFG,1977,13171306
235,Albania,ALB,1977,2513546
236,Algeria,DZA,1977,17582904
237,American Samoa,ASM,1977,30838
238,Andorra,AND,1977,32771
239,Angola,AGO,1977,7533735
240,Antigua and Barbuda,ATG,1977,62159
241,Argentina,ARG,1977,26661398
242,Armenia,ARM,1977,2944383
243,Aruba,ABW,1977,60366
244,Australia,AUS,1977,14192000
245,Austria,AUT,1977,7568430
246,Azerbaijan,AZE,1977,5863132
247,Afghanistan,AFG,1978,13341198
248,Albania,ALB,1978,2566266
249,Algeria,DZA,1978,18102266
250,American Samoa,ASM,1978,31269
251,Andorra,AND,1978,33737
252,Angola,AGO,1978,7790707
253,Antigua and Barbuda,ATG,1978,62036
254,Argentina,ARG,1978,27061047
255,Armenia,ARM,1978,2997417
256,Aruba,ABW,1978,60103
257,Australia,AUS,1978,14358000
258,Austria,AUT,1978,7562305
259,Azerbaijan,AZE,1978,5957925
260,Afghanistan,AFG,1979,13411056
261,Albania,ALB,1979,2617832
